sequence,ax,ay,az,gx,gy,gz
439,472,1469,-532,-491,-215,-580
440,478,1477,-679,-410,-195,-479
441,632,1865,-679,-252,-176,-316
442,784,2329,-553,-274,-81,-333
443,791,2463,-419,-533,77,-358
444,676,2336,-303,-841,234,-450
445,530,2197,-186,-1022,345,-525
446,428,2077,-134,-1011,373,-474
447,385,2054,-157,-816,307,-411
448,405,2293,-218,-590,226,-301
449,433,2666,-271,-514,205,-97
450,415,2888,-305,-618,221,54
451,390,2923,-366,-765,211,148
452,374,2896,-431,-853,140,146
453,337,2881,-495,-911,35,46
454,326,2917,-576,-945,-87,66
455,390,3042,-648,-875,-229,208
456,514,3214,-706,-712,-350,323
457,654,3351,-702,-511,-404,219
458,723,3290,-657,-290,-385,10
459,765,3095,-597,-5,-313,9
460,807,2981,-518,327,-197,99
461,805,2937,-457,594,-40,128
462,724,2896,-400,757,119,132
463,628,2850,-363,858,213,216
464,594,2807,-356,928,214,303
465,595,2705,-395,963,149,341
466,598,2566,-434,951,60,343
467,549,2397,-472,931,-45,318
468,549,2364,-472,951,-190,358
469,617,2385,-463,918,-336,476
470,706,2317,-474,784,-431,497
471,758,2245,-467,566,-450,270
472,741,2065,-474,311,-418,50
473,721,1856,-445,119,-363,36
474,685,1753,-375,-1,-269,-26
475,617,1689,-353,-55,-154,-92
476,553,1599,-394,-25,-60,88
477,561,1536,-408,63,-5,375
478,615,1536,-374,112,67,408
479,615,1560,-324,47,205,117
480,548,1537,-260,-106,382,-33
481,455,1382,-264,-214,512,123
482,364,1177,-304,-161,543,292
483,308,1146,-315,-24,511,195
484,279,1251,-305,21,494,-57
485,252,1318,-329,-56,508,-106
486,221,1285,-345,-159,510,83
487,174,1199,-337,-249,500,77
488,50,1056,-363,-321,474,-162
489,-106,872,-368,-332,393,-217
490,-196,726,-370,-269,244,-136
491,-224,709,-315,-159,75,-266
492,-246,720,-219,-85,-48,-384
493,-305,647,-249,-20,-151,-283
494,-343,589,-291,128,-303,-116
495,-308,639,-257,321,-482,-12
496,-264,706,-239,441,-631,31
497,-253,723,-308,485,-755,30
498,-184,768,-333,527,-886,92
