sequence,ax,ay,az,gx,gy,gz
410,-2818,12,317,-18,-91,-696
411,-2861,-120,274,-62,-86,-478
412,-2933,-55,267,65,-59,-627
413,-2939,227,217,291,-70,-874
414,-2789,513,185,508,-156,-907
415,-2606,692,163,644,-314,-394
416,-2495,862,99,623,-475,569
417,-2396,990,85,413,-518,1269
418,-2378,1020,168,85,-379,1417
419,-2481,1001,289,-256,-109,1352
420,-2690,891,407,-548,161,1326
421,-3045,740,447,-767,328,1420
422,-3377,555,448,-897,359,1645
423,-3584,325,485,-907,289,1870
424,-3710,108,567,-766,145,2020
425,-3740,30,600,-498,-53,2170
426,-3602,51,621,-214,-281,2225
427,-3351,91,662,-21,-455,2328
428,-3125,122,725,73,-499,2518
429,-2977,133,783,121,-407,2596
430,-2923,106,825,165,-236,2586
431,-2940,100,821,199,-72,2621
432,-2962,108,818,216,30,2613
433,-3000,127,817,242,55,2528
434,-3013,157,805,276,-7,2450
435,-2967,204,778,291,-150,2398
436,-2828,258,788,275,-327,2376
437,-2705,333,786,251,-489,2322
438,-2567,432,761,213,-611,2261
439,-2317,484,742,127,-725,2183
440,-2137,485,720,0,-825,2138
441,-1972,486,719,-114,-875,2115
442,-1786,495,717,-170,-874,1869
443,-1621,522,701,-174,-840,1635
444,-1445,513,678,-159,-798,1611
445,-1319,497,629,-141,-774,1712
446,-1186,474,575,-137,-776,1797
447,-999,446,560,-146,-779,1724
448,-809,426,531,-160,-755,1521
449,-648,368,479,-183,-718,1408
450,-492,285,424,-215,-682,1412
451,-319,204,361,-240,-649,1294
452,-138,147,311,-271,-618,961
453,55,120,263,-316,-582,568
454,236,89,214,-369,-534,290
455,347,38,172,-412,-457,158
456,398,-34,150,-416,-326,37
457,367,-114,139,-358,-141,-191
458,244,-170,123,-252,74,-395
459,115,-200,121,-126,283,-518
460,24,-197,145,1,471,-723
461,-103,-183,170,114,636,-1005
462,-337,-203,203,192,786,-1159
463,-647,-218,250,252,892,-1294
464,-932,-192,288,302,931,-1613
465,-1255,-147,361,331,934,-1966
466,-1570,-47,459,349,941,-2208
467,-1860,88,555,337,924,-2364
468,-2080,225,663,256,856,-2443
469,-2308,321,766,89,750,-2529
470,-2531,429,817,-153,629,-2577
471,-2621,522,829,-435,500,-2731
472,-2651,534,836,-738,382,-2897
473,-2619,463,915,-1042,294,-2857
474,-2649,290,984,-1290,265,-2796
475,-2789,96,1004,-1433,318,-2720
476,-2874,-47,1012,-1461,422,-2657
477,-2874,-135,1120,-1387,532,-2723
478,-2960,-156,1232,-1223,619,-2789
479,-3061,-191,1272,-1011,681,-2629
480,-3178,-259,1268,-789,717,-2203
481,-3260,-301,1274,-578,721,-1734
482,-3333,-343,1291,-366,709,-1617
483,-3392,-311,1283,-135,704,-1737
484,-3397,-172,1279,134,681,-1932
485,-3385,-35,1232,389,591,-2020
486,-3368,56,1171,521,424,-1623
487,-3453,202,1147,491,192,-980
488,-3531,356,1147,373,-73,-889
489,-3593,435,1157,317,-271,-1280
490,-3432,436,1166,430,-285,-1542
491,-3214,505,1099,692,-123,-1580
492,-2849,627,1021,1049,134,-1618
493,-2496,444,926,1415,353,-1468
494,-2596,495,642,1679,410,-310
495,-2690,692,368,1725,211,911
496,-2628,761,267,1533,-164,1236
497,-2427,734,293,1170,-476,1175
498,-2243,690,374,733,-589,1222
